time_us,rx_bytes,tx_bytes
1074021.1,553018680,553861944
1074602.0,553018680,553861944
1075183.1,553018680,553861944
1075763.6,553018680,553861944
1076345.5,553018680,553861944
1076926.5,553018680,553861944
1077507.4,553018680,553861944
1078087.5,553018680,553861944
1078667.5,553018680,553861944
1079248.8,553018680,553861944
1079828.8,553018680,553861944
1080409.6,553018680,553861944
1080991.8,553018680,553861944
1081572.2,553018680,553861944
1082153.3,553018680,553861944
1082734.1,553018680,553861944
1083313.4,553018680,553861944
1083894.1,553018680,553861944
1084476.2,553018680,553861944
1085058.1,553018680,553861944
1085638.6,553018680,553861944
1086219.6,553018680,553861944
1086800.0,553018680,553861944
1087380.7,553018680,553861944
1087963.6,553018680,553861944
1088543.7,553018680,553861944
1089124.5,553018680,553861944
1089705.1,553018680,553861944
1090287.3,553018680,553861944
1090867.9,553018680,553861944
1091449.6,553018680,553861944
1092030.4,553018680,553861944
1092610.8,553018680,553861944
1093191.7,553018680,553861944
1093772.3,553018680,553861944
1094351.8,553018680,553861944
1094933.2,553018680,553861944
1095515.1,553018680,553861944
1096096.1,553018680,553861944
1096677.7,553018680,553861944
1097259.1,553018680,553861944
1097839.2,553018680,553861944
1098419.5,553018680,553861944
1099000.2,553018680,553861944
1099580.9,553018680,553861944
1100160.6,553018680,553861944
1100740.7,553018680,553861944
1101320.9,553018680,553861944
1101901.6,553018680,553861944
1102482.7,553018680,553861944
1103064.6,553018680,553861944
1103645.8,553018680,553861944
1104226.5,553018680,553861944
1104806.7,553018680,553861944
1105387.1,553018680,553861944
1105967.3,553018680,553861944
1106547.3,553018680,553861944
1107129.4,553018680,553861944
1107710.5,553018680,553861944
1108291.3,553018680,553861944
1108873.1,553018680,553861944
1109454.3,553018680,553861944
1110035.5,553018680,553861944
1110617.2,553018680,553861944
1111198.1,553018680,553861944
1111778.2,553018680,553861944
1112358.0,553018680,553861944
1112940.3,553018680,553861944
1113522.2,553018680,553861944
1114104.6,553018680,553861944
1114685.9,553018680,553861944
1115267.2,553018680,553861944
1115847.4,553018680,553861944
1116429.9,553018680,553861944
1117011.3,553018680,553861944
1117593.7,553018680,553861944
1118173.3,553018680,553861944
1118754.3,553018680,553861944
1119335.9,553018680,553861944
1119916.9,553018680,553861944
1120499.2,553018680,553861944
1121088.3,553018680,553861944
1121668.9,553018680,553861944
1122250.0,553018680,553861944
1122829.9,553018680,553861944
1123410.1,553018680,553861944
1123990.2,553018680,553861944
1124571.7,553018680,553861944
1125152.6,553018680,553861944
1125733.3,553018680,553861944
1126313.8,553018680,553861944
1126893.4,553018680,553861944
1127475.3,553018680,553861944
1128056.5,553018680,553861944
1128638.9,553018680,553861944
1129218.5,553018680,553861944
1129798.4,553018680,553861944
1130378.9,553018680,553861944
1130960.7,553018680,553861944
1131542.5,553018680,553861944
1132123.6,553018680,553861944
1132704.2,553018680,553861944
1133285.0,553018680,553861944
1133865.6,553018680,553861944
1134445.7,553018680,553861944
