time_us,rx_bytes,tx_bytes
916563.9,561036276,615599190
917141.8,561036276,615599190
917718.7,561036276,615599190
918294.4,561036276,615599190
918872.0,561036276,615599190
919450.4,561036276,615599190
920031.0,561036276,615599190
920609.8,561036276,615599190
921187.4,561036276,615599190
921768.3,561036276,615599190
922345.1,561036276,615599190
922922.4,561036276,615599190
923500.5,561036276,615599190
924077.9,561036276,615599190
924654.8,561036276,615599190
925231.4,561036276,615599190
925808.6,561036276,615599190
926386.9,561036276,615599190
926964.5,561036276,615599190
927541.6,561036276,615599190
928118.5,561036276,615599190
928695.4,561036276,615599190
929274.2,561036276,615599190
929851.1,561036276,615599190
930429.2,561036276,615599190
931006.8,561036276,615599190
931583.1,561036276,615599190
932160.4,561036276,615599190
932737.3,561036276,615599190
933314.2,561036276,615599190
933895.6,561036276,615599190
934473.4,561036276,615599190
935052.4,561036276,615599190
935629.2,561036276,615599190
936207.5,561036276,615599190
936785.1,561036276,615599190
937361.0,561036276,615599190
937938.9,561036276,615599190
938516.6,561036276,615599190
939095.5,561036276,615599190
939671.9,561036276,615599190
940249.0,561036276,615599190
940826.2,561036276,615599190
941403.5,561036276,615599190
941981.5,561036276,615599190
942558.3,561036276,615599190
943134.5,561036276,615599190
943711.7,561036276,615599190
944289.0,561036276,615599190
944879.2,561036276,615599190
945456.5,561036276,615599190
946034.6,561036276,615599190
946612.5,561036276,615599190
947190.1,561036276,615599190
947766.7,561036276,615599190
948343.2,561036276,615599190
948921.0,561036276,615599190
949498.9,561036276,615599190
950077.0,561036276,615599190
950653.9,561036276,615599190
951231.2,561036276,615599190
951913.5,561036276,615599190
952493.0,561036276,615599190
953073.5,561036276,615599190
953651.0,561036276,615599190
954228.4,561036276,615599190
954805.8,561036276,615599190
955385.0,561036276,615599190
955964.4,561036276,615599190
956541.9,561036276,615599190
957119.0,561036276,615599190
957696.4,561036276,615599190
958276.6,561036276,615599190
958856.0,561036276,615599190
959432.9,561036276,615599190
960010.1,561036276,615599190
960588.1,561036276,615599190
